term,description,category,subcategory,lang
"Мейірім","Доброта, милосердие, сострадание.","Медицина","Поликлиники","ru"
"Қанат талмас","Фразеологизм, выражающий сильную волю, здоровье и выносливость.","Медицина","Поликлиники","ru"
"Жәрдем","Проявление милосердия, помощь и поддержка, символизирующие готовность протянуть руку помощи.","Медицина","Поликлиники","ru"
"Ақниет","Искреннее намерение сделать что-то для людей.","Медицина","Стоматология","ru"
"Асыл тіс","Драгоценный – ценный, чистый, дорогой. Зуб – очень прочный орган пищеварения.","Медицина","Стоматология","ru"
"Жарқын күлкі","Открытая, светящаяся улыбка.","Медицина","Стоматология","ru"
"Салауат","Слово, выражающее здоровье и благополучие.","Медицина","Стоматология","ru"
"Шипа","Выздоровление, восстановление здоровья.","Медицина","Стоматология","ru"
"Шұғыла","Свет или сияние.","Медицина","Стоматология","ru"
"Күлкі әлемі","Центр смеха и радости.","Медицина","Стоматология","ru"
"Отыз екі","Такое название, связанное с общим количеством зубов у человека.","Медицина","Стоматология","ru"
"Сапа","Качество или свойство чего-то хорошего или высокого уровня.","Медицина","Стоматология","ru"
"Жаңа күн","Новое начинание, новшество, новая возможность, начало дня.","Медицина","Стоматология","ru"
"Қуаныш","Поднятие настроения, радость, состояние счастья.","Медицина","Стоматология","ru"
"Сенім","Вера во что-то или в кого-то, стабильность и уверенность.","Медицина","Стоматология","ru"
"Дайын көмек","Поддержка, помощь, оказание содействия в трудной ситуации.","Медицина","Стоматология","ru"
"Ақмаржан","Драгоценный камень, красивый и высоко ценимый элемент.","Медицина","Стоматология","ru"
"Ақыл тіс","Признак интеллекта или жизненного опыта человека, иногда символ зрелости.","Медицина","Стоматология","ru"
"Маржан тіс","Красивые и белоснежные зубы, выстроенные, словно жемчуг.","Медицина","Стоматология","ru"
"Асыл","Очень ценная вещь, обладающая высоким качеством.","Медицина","Стоматология","ru"
"Нәзік жан","Человек с добрым сердцем, отзывчивый и мягкий по природе.","Медицина","Стоматология","ru"
"Балауыз","Природный материал, часто используемый для изготовления свечей или других изделий.","Медицина","Стоматология","ru"
"Азу","Это название связано с жевательными зубами и выбрано для того, чтобы подчеркнуть основную функцию стоматологии.","Медицина","Стоматология","ru"
"Ем болсын","Будь здоров – пожелание крепкого здоровья, победы над болезнью.","Медицина","Стоматология","ru"
"Денсаулық","Хорошее физическое и психическое состояние человека.","Медицина","Стоматология","ru"
"Мәрмәр тіс","Очень плотный и красивый камень, часто используемый в архитектуре или памятниках.","Медицина","Стоматология","ru"
"Тіс әлемі","Все, что связано с зубами: их строение, уход и заболевания.","Медицина","Стоматология","ru"
"Күлкі","Звуковая реакция, возникающая от радости или веселого состояния.","Медицина","Стоматология","ru"
"Жақұт","Драгоценный камень, отличающийся своей красотой и ценностью.","Медицина","Стоматология","ru"
"Күлімде","Улыбка, проявление радости.","Медицина","Стоматология","ru"
"Нұрдауа","Это название отражает лечебную и оздоровительную деятельность стоматологии, а также лечение зубных заболеваний.","Медицина","Стоматология","ru"
"Сапалы тіс","Здоровые зубы, результат правильного ухода.","Медицина","Стоматология","ru"
"Ақкербез","Очень чистое и красивое, изящное и утонченное.","Медицина","Стоматология","ru"
"Жәрдем","Помощь, поддержка, создание необходимых условий для других.","Медицина","Стоматология","ru"
"Талап","Сила или требовательность, необходимые для достижения цели.","Медицина","Стоматология","ru"
"Алтын тіс","Это название означает высокую ценность и качество зуба, направлено на предоставление качественных услуг лечения и ухода в стоматологии.","Медицина","Стоматология","ru"
"Жарық","Луч, влияющий на зрение, солнечный свет или искусственное освещение.","Медицина","Стоматология","ru"
"Езу","Маленькие зубы, появляющиеся в человеческом рту.","Медицина","Стоматология","ru"
"Күрек тіс","Основные зубы в человеческом рту, иногда называемые коренными.","Медицина","Стоматология","ru"
"Тістегір","Острый зуб, сильный, смелый и крепкий.","Медицина","Стоматология","ru"
"Алматы","Бальнеологический санаторий республиканского значения.","Медицина","Медицинские центры","ru"
"Жаңақорған","Это название означает обновление и защиту, подчеркивая, что медицинский центр предоставляет услуги по восстановлению здоровья.","Медицина","Медицинские центры","ru"
"Зеренді","Это название символизирует обновление природы и развитие жизни, и выбрано с целью указать на предоставление медицинским центром услуг по восстановлению здоровья и оздоровлению.","Медицина","Медицинские центры","ru"
"Көктем","Это название является символом обновления, расцвета и возрождения жизни. Для медицинского центра оно означает восстановление здоровья, выздоровление и процесс обновления.","Медицина","Медицинские центры","ru"
"Меркі","Это название символизирует обновление и развитие, а также указывает на предоставление высококачественных медицинских услуг.","Медицина","Медицинские центры","ru"
"Салауатты","Название обозначает услуги медицинского центра, направленные на сохранение и улучшение здоровья.","Медицина","Медицинские центры","ru"
"Тыныс","Это название обозначает направление медицинского центра, предоставляющего услуги по восстановлению здоровья дыхательной системы и лечению заболеваний.","Медицина","Медицинские центры","ru"
"Сарыағаш","Город, район и административный центр города Сарыагаш, а также железнодорожная станция в Сарыагашском районе Туркестанской области.","Медицина","Медицинские центры","ru"
"Қарқаралы","Город и центр Каркаралинского района Карагандинской области.","Медицина","Медицинские центры","ru"
"Саф таза","Это название подчеркивает, что медицинский центр предоставляет качественные, безопасные и эффективные услуги лечения.","Медицина","Медицинские центры","ru"
"Ақбұлақ","Село в Аршалынском районе Акмолинской области.","Медицина","Медицинские центры","ru"
"Саумал","Кумыс, молоко кобылицы, еще не полностью перебродившее.","Медицина","Медицинские центры","ru"
"Шүкір","Это название выражает благодарность и признательность, подчеркивая, что медицинский центр предоставляет качественные услуги и направлен на восстановление здоровья.","Медицина","Медицинские центры","ru"
"Самал","Приятный, прохладный ветерок.","Медицина","Медицинские центры","ru"
"Алтын Қарғалы","Село в Жамбылском районе Алматинской области.","Медицина","Медицинские центры","ru"
"Ақсу демі","Это название символизирует чистый воздух и чистоту природы, указывая на услуги медицинского центра, направленные на лечение дыхательной системы, оздоровление и восстановление здоровья.","Медицина","Медицинские центры","ru"
"Шипа су","Это название обозначает лечебные свойства чистой воды, подчеркивая, что медицинский центр предоставляет услуги по оздоровлению, восстановлению здоровья и лечению.","Медицина","Медицинские центры","ru"
"Біркөлік","Село в Толебийском районе Туркестанской области, входящее в Алатауский сельский округ.","Медицина","Медицинские центры","ru"
"Таң нұры","Это название подчеркивает, что медицинский центр предоставляет услуги по восстановлению здоровья, оздоровлению и дарованию нового начала пациентам.","Медицина","Медицинские центры","ru"
"Қайнар","Выбрано как источник жизни и здоровья, а также источник энергии и силы.","Медицина","Медицинские центры","ru"
"Арыс шипажайы","Город в Туркестанской области, административный центр города Арысь.","Медицина","Медицинские центры","ru"
"Балдәурен","Место отдыха на берегу озера Щучье в Центральной курортной зоне Бурабая.","Медицина","Медицинские центры","ru"
"Мойылды","Место отдыха в 9 километрах от центра города Павлодар.","Медицина","Медицинские центры","ru"
"Шағала","Оно символизирует свободу, чистоту и новые возможности.","Медицина","Медицинские центры","ru"
"Қамыскөл","Расположен в юго-восточной части Атырауской области, в Жылыойском районе.","Медицина","Медицинские центры","ru"
"Жосалы","Поселок в Кармакшинском районе Кызылординской области.","Медицина","Медицинские центры","ru"
"Алтын тамыр","Оно символизирует лечебную силу природы и источник жизненной энергии.","Медицина","Медицинские центры","ru"
"Оқжетпес","Расположено на берегу озера Аулиеколь (озеро Бурабай).","Медицина","Медицинские центры","ru"
"Манкент","Климатологический санаторий, лечащий минеральной водой.","Медицина","Медицинские центры","ru"
"Шипагер","Лекарь, целитель.","Медицина","Медицинские центры","ru"
"Шипалы бұлақ","Исцеление – процесс выздоровления, лечения, избавления от недуга. Источник – маленький ручей, начинающийся у подземного родника.","Медицина","Медицинские центры","ru"
"Тасбұлақ","Символ чистоты и целебной силы природы, направленный на восстановление здоровья.","Медицина","Медицинские центры","ru"
"Шуақ","Источник света и тепла, символизирует поддержку и надежду для пациентов.","Медицина","Медицинские центры","ru"
"Қарақат","Символ природной силы и лечебных свойств, направлен на лечение и восстановление.","Медицина","Медицинские центры","ru"
"Теректі","Символ спокойствия и силы природы, ориентирован на улучшение здоровья.","Медицина","Медицинские центры","ru"
"Мөлдір бұлақ","Символ чистоты и целебных источников, направленный на оздоровление.","Медицина","Медицинские центры","ru"
"Саламат","Ориентирован на восстановление здоровья и предоставление качественных медицинских услуг.","Медицина","Медицинские центры","ru"
"Асыл мекен","Медицинский центр, предлагающий высококачественные услуги по восстановлению здоровья.","Медицина","Медицинские центры","ru"
"Тау самалы","Символ свежего воздуха и энергии гор, ориентирован на улучшение дыхания и здоровья.","Медицина","Медицинские центры","ru"
"Шипалы өмір","Медицинский центр, предлагающий услуги по восстановлению здоровья и улучшению жизни.","Медицина","Медицинские центры","ru"
"Шипажай","Центр, направленный на улучшение здоровья и восстановление сил.","Медицина","Медицинские центры","ru"
"Саулық","Символ общего здоровья и долголетия.","Медицина","Медицинские центры","ru"
"Өмір бұлағы","Медицинский центр, предоставляющий услуги по восстановлению здоровья и оздоровлению.","Медицина","Медицинские центры","ru"
"Тыныштық","Символ внутреннего покоя и восстановления здоровья.","Медицина","Медицинские центры","ru"
"Ақ ырыс","Соединение здоровья и счастья, направленное на лечение и оздоровление.","Медицина","Медицинские центры","ru"
"Қамқор","Забота и внимание к пациентам, направленные на восстановление здоровья.","Медицина","Медицинские центры","ru"
"Жан дауа","Символ духовного и физического исцеления.","Медицина","Медицинские центры","ru"
"Жан ана","Медицинский центр, предлагающий услуги по восстановлению здоровья с заботой и вниманием.","Медицина","Медицинские центры","ru"
"Шипалы","Символ целебных свойств, направленный на лечение и восстановление здоровья.","Медицина","Медицинские центры","ru"
"Дауа","Основной символ лечения и восстановления здоровья.","Медицина","Медицинские центры","ru"
"Нұршипа","Символ лечебного света и энергии, направленный на оздоровление.","Медицина","Медицинские центры","ru"
"Ақ сенім","Символ уверенности в здоровье и надежды на лечение.","Медицина","Медицинские центры","ru"
"Ақ нәр","Символ чистоты и исцеляющих свойств.","Медицина","Медицинские центры","ru"
"Күншуақ","Свет, тепло и энергия, символизируют улучшение здоровья.","Медицина","Медицинские центры","ru"
"Амандық","Оно обозначает услуги, направленные на восстановление здоровья, реабилитацию и долгую жизнь.","Медицина","Медицинские центры","ru"
"Жалбыз","Символ целебных растений, направленный на восстановление здоровья.","Медицина","Медицинские центры","ru"
"Ақжан","Символ чистоты и целебной силы.","Медицина","Медицинские центры","ru"
"Ана мен бала","Медицинский центр, ориентированный на здоровье матери и ребенка.","Медицина","Медицинские центры","ru"
"Шипа","Символ лечения и восстановления здоровья.","Медицина","Медицинские центры","ru"
"Қасиет","Символ целебных свойств природы.","Медицина","Медицинские центры","ru"
"Алтын ине","Символ эффективности и высокого качества лечения.","Медицина","Медицинские центры","ru"
"Аман-саулық","Медицинский центр, направленный на поддержание и улучшение здоровья.","Медицина","Медицинские центры","ru"
"Жас ұзақ","Медицинский центр, ориентированный на долгую и здоровую жизнь.","Медицина","Медицинские центры","ru"
"Ұзақ өмір","Будьте здоровы и живите долго.","Медицина","Медицинские центры","ru"
"Денсаулық","Здоровье – это не только отсутствие болезней и физических недостатков, но и состояние полного физического, духовного (психического) и социального благополучия.","Медицина","Аптеки","ru"
"Зәйтүн","Олива – вечнозеленое многолетнее древесное растение, относящееся к семейству маслиновых.","Медицина","Аптеки","ru"
"Дәрумен","Органические низкомолекулярные вещества, поступающие в организм с пищей в малых количествах и необходимые для нормального обмена веществ и жизнедеятельности организма.","Медицина","Аптеки","ru"
"Дәрі бар","Лекарство – медицинский препарат, используемый для лечения и профилактики заболеваний.","Медицина","Аптеки","ru"
"Ақ қайың","Дерево с белой корой, сердцевидными листьями и свисающими ветвями.","Медицина","Аптеки","ru"
"Жан тыныштығы","Душа – духовная энергия, обеспечивающая жизнедеятельность человека и животных. Тишина – спокойствие, безмолвие.","Медицина","Аптеки","ru"
"Арша","Зеленый кустарник с распростертыми ветвями, растущий у скалистых склонов гор.","Медицина","Аптеки","ru"
"Жалбыз","Ароматное растение, произрастающее в ущельях и на влажных участках земли.","Медицина","Аптеки","ru"
"Сау бол!","Здоровый – целый, невредимый, с полным набором конечностей. Слово быть обозначает осуществление или возникновение действия, явления.","Медицина","Аптеки","ru"
"Жұпаргүл","Многолетнее травянистое растение высотой 30–60 см, относящееся к семейству губоцветных.","Медицина","Аптеки","ru"
"Жан сарайы","Аптека, предлагающая лекарственные препараты и медицинские услуги, помогающие поддерживать гармонию души и тела.","Медицина","Аптеки","ru"
"Жолжелкен","Неприметное растение с листьями, растущее вдоль дорог и арыков, известное как лопух.","Медицина","Аптеки","ru"
"Сәлбен","Лекарственное растение семейства губоцветных, широко распространенное в тропических и субтропических регионах.","Медицина","Аптеки","ru"
"Қырықбуын","Многолетнее растение, стелющееся по земле и имеющее членистые стебли.","Медицина","Аптеки","ru"
"Асыл дәрі","Драгоценный – ценный, чистый, дорогой, уважаемый. Лекарство – медицинский препарат, используемый для лечения и профилактики заболеваний.","Медицина","Аптеки","ru"
"Шипа","Выздоровление, исцеление, лечение.","Медицина","Аптеки","ru"
"Жан дауа","Аптека, обеспечивающая качественными лекарствами, направленными на сохранение здоровья и душевного покоя.","Медицина","Аптеки","ru"
"Шарапат","Милосердие – проявление доброты, человечности и сострадания.","Медицина","Аптеки","ru"
"Дем","Воздух, вдыхаемый и выдыхаемый через органы дыхания.","Медицина","Аптеки","ru"
"Сау ел","Аптека, предлагающая лекарства и услуги для укрепления здоровья и благополучия народа.","Медицина","Аптеки","ru"
"Емдел","Комплекс мероприятий, направленных на восстановление и поддержание здоровья.","Медицина","Аптеки","ru"
"Денсаулық үйі","Здоровье – нормальное состояние организма, отсутствие заболеваний. Дом – многозначное слово, обозначающее жилье или строение для проживания.","Медицина","Аптеки","ru"
"Сүйікті дәріхана","Любимый – человек или вещь, вызывающие симпатию и привязанность. Аптека – место продажи лекарств.","Медицина","Аптеки","ru"
"Мейірімді дәрігер","Аптека, заботящаяся о пациентах, предоставляющая качественные медикаменты и медицинскую помощь.","Медицина","Аптеки","ru"
"Аман жүр","Целый, невредимый и здоровый. Ходить – передвигаться из одного места в другое, переступая ногами.","Медицина","Аптеки","ru"
"Денсаулық дәуірі","Аптека, предлагающая современные лекарственные препараты и средства для сохранения и укрепления здоровья.","Медицина","Аптеки","ru"
"Дәрілер әлемі","Лекарство – медицинский препарат, используемый для лечения и профилактики заболеваний.","Медицина","Аптеки","ru"
"Шөп дәрі","Свежая зелень, травяной покров земли, общее название растительности.","Медицина","Аптеки","ru"
"Дермене","Лекарственное растение.","Медицина","Аптеки","ru"
"Түймедақ","Ромашка – однолетнее травянистое растение, используемое в медицине, с эфирными маслами, иногда ядовитое.","Медицина","Аптеки","ru"
"Қазтамақ","Растение с прямым стеблем, рассеченными листьями и сиреневыми цветками.","Медицина","Аптеки","ru"
"Сексеуіл","Аптека, объединяющая природные лечебные свойства с лекарственными средствами для улучшения здоровья.","Медицина","Аптеки","ru"
"Бәйшешек","Многолетнее луковичное растение, первое цветущее весной.","Медицина","Аптеки","ru"
"Ақтабан","Животное (лошадь, собака) – название ветеринарной аптеки.","Медицина","Ветеринарные аптеки","ru"
"Табиғат","Ветеринарная аптека, предлагающая качественные лечебные средства для сохранения здоровья животных.","Медицина","Ветеринарные аптеки","ru"
"Мейірім ұясы","Ветеринарная аптека, предлагающая качественные лечебные средства и заботливую помощь для животных.","Медицина","Ветеринарные аптеки","ru"
"Жануарлар әлемі","Ветеринарная аптека, предлагающая лекарства и услуги для животных.","Медицина","Ветеринарные аптеки","ru"
"Сауықтыру аймағы","Ветеринарная аптека, предлагающая услуги для восстановления здоровья и улучшения состояния животных.","Медицина","Ветеринарные аптеки","ru"
"Адым","В переносном значении обозначает действия и движения, стремление и попытки двигаться вперед.","Бизнес орталықтары","Бизнес центры","ru"
"Атакәсіп","Работа, которой занимались предки и которая теперь осталась наследием для последующих поколений, привычное дело.","Бизнес орталықтары","Бизнес центры","ru"
"Бастама","Начало какого-либо дела, первоначальный толчок или источник.","Бизнес орталықтары","Бизнес центры","ru"
"Жанартау","Означает рост и энергию, центр, работающий в направлении новых возможностей и развития.","Бизнес орталықтары","Бизнес центры","ru"
"Бақ құсы","Означает рост и развитие, бизнес-центр, поддерживающий творчество.","Бизнес орталықтары","Бизнес центры","ru"
"Бірегей","Выдающийся специалист в определенной области, имеющий свой неповторимый стиль и узнаваемость. Может также означать однообразие, стабильность.","Бизнес орталықтары","Бизнес центры","ru"
"Дәйектеме","Доказательства, аргументы, твердые мысли и идеи, связанные с какой-либо проблемой или вопросом.","Бизнес орталықтары","Бизнес центры","ru"
"Даңғыл жол","Прямой и переносный смысл: ясное направление, правильный курс, гладкий и безпрепятственный путь.","Бизнес орталықтары","Бизнес центры","ru"
"Дидарласу","Личное общение между людьми, встреча, обсуждение или обмен мнениями.","Бизнес орталықтары","Бизнес центры","ru"
"Жаңару","Период перемен, начало нового этапа в жизни общества или человека, открытие новых горизонтов.","Бизнес орталықтары","Бизнес центры","ru"
"Жерұйық","С древних времен в казахской культуре символизировалось как райское место, уютное и благоприятное место для жизни.","Бизнес орталықтары","Бизнес центры","ru"
"Жан-жақ","Окружение, близкие люди, ситуация или состояние, в котором человек находится.","Бизнес орталықтары","Бизнес центры","ru"
"Жібек жолы","Старинный путь, который связывал Запад и Восток, символизирует путь к добру и процветанию.","Бизнес орталықтары","Бизнес центры","ru"
"Зерде","Мудрость, разум, внимание. ""Для того, чтобы учиться, а для того, чтобы что-то усвоить в разуме, нужен разум.""","Бизнес орталықтары","Бизнес центры","ru"
"Кері байланыс","Означает обмен мнениями и эффективную коммуникацию, центр, направленный на укрепление связей с партнерами.","Бизнес орталықтары","Бизнес центры","ru"
"Кәміл сөз","Правда, истина, откровенная, не украшенная история.","Бизнес орталықтары","Бизнес центры","ru"
"Кен","Полезные ископаемые, богатство, сокровища. В переносном значении это источник духовного богатства человека.","Бизнес орталықтары","Бизнес центры","ru"
"Көзкөрген","Означает опыт и знания, профессиональные услуги, предоставляемые центром.","Бизнес орталықтары","Бизнес центры","ru"
"Күнбатыс","Один из четырёх сторон света, западное направление.","Бизнес орталықтары","Бизнес центры","ru"
"Күншығыс","Один из четырёх сторон света, восточное направление.","Бизнес орталықтары","Бизнес центры","ru"
"Күре жол","Означает основное направление развития и стабильный рост, путь развития бизнес-центра.","Бизнес орталықтары","Бизнес центры","ru"
"Қазанат","Порода казахских лошадей, отличающаяся выносливостью и стойкостью в дороге. В переносном смысле используется для описания сильных, решительных людей.","Бизнес орталықтары","Бизнес центры","ru"
"Қауым","Означает сотрудничество и единство, центр, направленный на достижение общих целей.","Бизнес орталықтары","Бизнес центры","ru"
"Қисын","Сложности, ситуации, связанные с определённым порядком или логическим раздумьем.","Бизнес орталықтары","Бизнес центры","ru"
"Құрылтай","Большое собрание, важная народная встреча, обсуждение важных вопросов.","Бизнес орталықтары","Бизнес центры","ru"
"Құтты қадам","Шаги, действия или движения, ведущие к благополучию, процветанию и счастью.","Бизнес орталықтары","Бизнес центры","ru"
"Майталман","Эксперт своего дела, мастер своей профессии, лучший в своей области.","Бизнес орталықтары","Бизнес центры","ru"
"Өре","В переносном смысле, уровень знаний, квалификации, интеллекта, уровень образования. Слово из пословицы: ""Если твой разум велик, думай"".","Бизнес орталықтары","Бизнес центры","ru"
"Өскелең ұрпақ","Означает инновации и развитие в будущее, центр, предлагающий новаторские решения.","Бизнес орталықтары","Бизнес центры","ru"
"Пікірсарап","Обсуждение или анализ важного вопроса с общественным значением.","Бизнес орталықтары","Бизнес центры","ru"
"Сайын дала","Безбрежные просторы, открытые земли, свободные территории, родная земля.","Бизнес орталықтары","Бизнес центры","ru"
"Самғау","Означает стремление к успеху, центр, ориентированный на достижение результатов.","Бизнес орталықтары","Бизнес центры","ru"
"Сәтті жол","Путь, ведущий к успеху и процветанию в жизни, в работе.","Бизнес орталықтары","Бизнес центры","ru"
"Серке","Означает лидерство и инициативность, центр, движущийся в сторону прогресса.","Бизнес орталықтары","Бизнес центры","ru"
"Сүрлеу","Старинные, забытые пути, которые оставили предки, но которые всё ещё существуют.","Бизнес орталықтары","Бизнес центры","ru"
"Таған","Культурные, духовные основы, которые служат опорой для нации и народа, такие как язык, культура, искусство.","Бизнес орталықтары","Бизнес центры","ru"
"Талқы","Обсуждение актуальных и насущных вопросов, суть жизни и испытаний.","Бизнес орталықтары","Бизнес центры","ru"
"Талпыныс","Стремление, желание и усилия, направленные на достижение цели и движения вперёд.","Бизнес орталықтары","Бизнес центры","ru"
"Жәдігер","Память о прошлом, наследие, следы от добрых дел, представление о будущем.","Бизнес орталықтары","Бизнес центры","ru"
"Түбегей","Древнее слово, основная цель, конечная цель, значение связано с понятием ""всего"".","Бизнес орталықтары","Бизнес центры","ru"
"Ұйғарым","Решение по определенному вопросу, заключение или вывод.","Бизнес орталықтары","Бизнес центры","ru"
"Ұлағат","Мудрость, наставления, пример, научение.","Бизнес орталықтары","Бизнес центры","ru"
"Ұлан дала","Бескрайние казахские степи, просторы.","Бизнес орталықтары","Бизнес центры","ru"
"Ұлан-асыр","Обильный, избыточный, переполненный.","Бизнес орталықтары","Бизнес центры","ru"
"Үн қосу","Новый начинание, активное участие в деле, поддержка и участие в новом проекте.","Бизнес орталықтары","Бизнес центры","ru"
"Шандоз","Выдающиеся личности, неординарные люди с исключительными внешними качествами и выдающимся характером.","Бизнес орталықтары","Бизнес центры","ru"
"Шаршы топ","Группа людей, собравшихся для обсуждения важного вопроса, обсуждения проблем.","Бизнес орталықтары","Бизнес центры","ru"
"Ынта-ықылас","Инициативность, старание, внимание и добрые намерения.","Бизнес орталықтары","Бизнес центры","ru"
"Әлеует","Сила, энергия, мощь, энергия, которая выражается через действия.","Бизнес орталықтары","Бизнес центры","ru"
"Дүйім жұрт","Общий народ, вся нация, всё общество.","Бизнес орталықтары","Бизнес центры","ru"
"Әділдік кеңсесі","Справедливость – основа добродетели. Канцелярия – здание или помещение, где располагается определенное учреждение.","Бизнес орталықтары","Нотариус","ru"
"Сенім","Доверие – вера в что-либо.","Бизнес орталықтары","Нотариус","ru"
"Қолтаңба","Подпись рукописная запись или автограф автора на книге или документе.","Бизнес орталықтары","Нотариус","ru"
"Уәде алаңы","Обозначает услуги нотариуса по обеспечению законности соглашений и обязательств.","Бизнес орталықтары","Нотариус","ru"
"Жеті жарғы","Свод традиционных обычаев и законов казахского народа, принятый во времена правления Тауке-хана (1678–1718).","Бизнес орталықтары","Нотариус","ru"
"Алтын орда","Большая ханская ставка, место собраний, достигавшая до 30 крыльев (отделений). Название, основанное на традиционной казахской истории и культуре.","Тауарлар","Торговые центры","ru"
"Мұрагер","Наследник, получающий имущество от родителей или родственников.","Тауарлар","Торговые центры","ru"
"Дала Керуені","Торговый центр, символизирующий кочевую культуру и новые возможности.","Тауарлар","Торговые центры","ru"
"Үшқоңыр","Торговый центр, отражающий казахскую культуру и пространство.","Тауарлар","Торговые центры","ru"
"Бәйтерек","Огромное дерево, обладающее мистической силой согласно древним представлениям.","Тауарлар","Торговые центры","ru"
"Таңшолпан","Утренняя звезда, яркая звезда.","Тауарлар","Торговые центры","ru"
